"source" "target" "regulation"
"hsa-miR-532-5p" "GREM2" "down"
"hsa-miR-532-5p" "CDH4" "up"
"hsa-miR-532-5p" "EGF" "down"
"hsa-miR-532-5p" "F3" "down"
"hsa-miR-532-5p" "FRK" "down"
"hsa-miR-532-5p" "KCNJ13" "down"
"hsa-miR-532-5p" "NDUFB5" "down"
"hsa-miR-532-5p" "PAPPA" "down"
"hsa-miR-532-5p" "KITLG" "down"
"hsa-miR-532-5p" "CDH6" "up"
"hsa-miR-532-5p" "MECOM" "down"
"hsa-miR-532-5p" "UST" "down"
"hsa-miR-532-5p" "SCN3A" "down"
"hsa-miR-532-5p" "CLDN10" "down"
"hsa-miR-532-5p" "ESM1" "up"
"hsa-miR-532-5p" "PLA2R1" "down"
"hsa-miR-532-5p" "BACE2" "down"
"hsa-miR-532-5p" "PID1" "down"
"hsa-miR-532-5p" "EPB41L5" "down"
"hsa-miR-532-5p" "FLRT2" "down"
"hsa-miR-532-5p" "SLC8A1" "down"
"hsa-miR-532-5p" "GABRA2" "down"
"hsa-miR-532-5p" "ESRRB" "down"
"hsa-miR-532-5p" "ABAT" "down"
"hsa-miR-532-5p" "KALRN" "up"
"hsa-miR-532-5p" "ELF5" "down"
"hsa-miR-532-5p" "GP2" "down"
"hsa-miR-532-5p" "DDB2" "up"
"hsa-miR-532-5p" "KIT" "down"
"hsa-miR-532-5p" "PHKA2" "up"
"hsa-miR-532-5p" "AQP2" "down"
"hsa-miR-532-5p" "C7" "down"
"hsa-miR-532-5p" "GRIK3" "up"
"hsa-miR-532-5p" "PRLR" "down"
"hsa-miR-532-5p" "HYKK" "down"
"hsa-miR-532-5p" "TMEM30B" "down"
"hsa-miR-532-5p" "SEMA5B" "up"
"hsa-miR-532-5p" "SCNN1A" "down"
"hsa-miR-532-5p" "VAV3" "down"
"hsa-miR-532-5p" "GJC1" "up"
"hsa-miR-532-5p" "TOX3" "down"
"hsa-miR-532-5p" "CGREF1" "up"
"hsa-miR-532-5p" "CHODL" "down"
"hsa-miR-532-5p" "IRF6" "down"
"hsa-miR-532-5p" "CLIC5" "down"
"LINC00982" "hsa-miR-28-5p" "up"
"LINC00944" "hsa-miR-532-5p" "down"
"LINC00473" "hsa-miR-140-5p" "up"
