"ID","adj.P.Val","P.Value","t","B","logFC","miRNA_ID","SPOT_ID","condition"
"A_25_P00013941",0.00955992247075265,0.00251734635593487,-3.23975788042048,-2.3384954314203,-1.00235294117647,"hsa-miR-125a-3p","",TRUE
"A_25_P00015142",0.0111018205904334,0.00295816536108726,-3.18038586994429,-2.49038105485204,-1.28882352941176,"hsa-miR-1246","",TRUE
"A_25_P00012131",0.0122384739823883,0.00330842869750793,3.13892589314929,-2.59549473070323,1.96117647058823,"hsa-miR-223","",TRUE
"A_25_P00014053",0.0122384739823883,0.00337613075376228,3.1313948804038,-2.61450280695794,1.08496732029412,"hsa-miR-452","",TRUE
"A_25_P00010288",0.0124231909160705,0.0035049754935622,3.1174494062696,-2.64963080635161,1.25435294117647,"hsa-miR-181c","",TRUE
"A_25_P00010953",0.016129240753565,0.00485394079104152,-2.99499153125928,-2.95409773327124,-1.39588235294118,"hsa-miR-363","",TRUE
"A_25_P00012239",0.0179154427003186,0.00544764245119407,2.95103806414761,-3.06157612908851,1.28705882352941,"hsa-miR-185","",TRUE
"A_25_P00012447",0.0186996628023473,0.00580334362831467,2.92681435486226,-3.1203901869077,2.47882352941177,"hsa-miR-451","",TRUE
"A_25_P00013930",0.0198210683998039,0.00639990609774231,2.88915168157127,-3.21123136108859,1.48705882352941,"hsa-miR-140-5p","",TRUE
"A_25_P00012038",0.021308031659067,0.00701361543637002,2.85369155557629,-3.29608015462425,1.13241176470588,"hsa-miR-101","",TRUE
"A_25_P00010977",0.0228348144281926,0.00771540662125102,2.81653338853833,-3.38427249600796,1.02529411764706,"hsa-miR-425","",TRUE
"A_25_P00015204",0.0228348144281926,0.00773090896001506,2.81574872589332,-3.38612681172601,1.57411764705883,"hsa-miR-1274a","",TRUE
"A_25_P00013850",0.0246548259306841,0.00842437625844693,2.7820668993762,-3.46540740113419,1.20235294117647,"hsa-miR-28-5p","",TRUE
"A_25_P00012001",0.0248231036744642,0.00871272488247822,2.76881625353529,-3.49642622745373,1.19294117647059,"hsa-miR-26b","",TRUE
"A_25_P00012139",0.0248231036744642,0.00871532166626955,-2.76869878551184,-3.49670077786645,-1.1835294117647,"hsa-miR-200b","",TRUE
"A_25_P00015231",0.0318763900310861,0.0115914145567586,2.65511186102676,-3.75854465730635,1.40823529411765,"hsa-miR-1274b","",TRUE
"A_25_P00015265",0.0319054555861876,0.0118020180538249,2.64785849371881,-3.77501429850982,1.55470588235294,"hsa-miR-720","",TRUE
"A_25_P00013423",0.03393326929452,0.0129123050864753,2.61148675416816,-3.85713610175677,1.46888235294118,"hsa-miR-144*","",TRUE
"A_25_P00014215",0.03393326929452,0.0129776139621675,-2.60943816698799,-3.86173830469575,-1.08310924370588,"hsa-miR-551b","",TRUE
"A_25_P00014860",0.0390114913709061,0.0151643414733303,-2.54579338847135,-4.00346849291705,-1.40242647058824,"hsa-miR-429","",TRUE
